"contexto","competencia","grupo_edad","premio_total","fraccion_primer_puesto","fraccion_segundo_puesto","valor_tercer_puesto","monto_primer_puesto","monto_segundo_puesto","monto_tercer_puesto","opciones","opciones_mezcladas","respuesta_correcta","termino_dinero","paleta_seleccionada","simulacion","hash"
"pueblo","prueba atlética","menores de 16 años",120,"3/4","1/8",0.125,90,15,15,15,15,15,"incentivo","#4285F4",15,"e0886f2f37ea685df6deff340e44d3c4"
"ciudad","campeonato","niños y niñas de 10 a 15 años",60,"2/5","1/2",0.1,24,30,6,6,18,6,"dinero","#4285F4",16,"67acfd7f19cdc7e9052caa01bc29fc3b"
"municipio","campeonato","menores de 15 años",90,"3/4","1/8",0.125,68,11,11,11,11,11,"premio","#4285F4",17,"c40996c624a9cc42a2e224345306fa54"
"zona","maratón","menores de 16 años",80,"1/2","3/8",0.125,40,30,10,10,10,10,"incentivo","#7F3C8D",18,"f2d37621ae8d569183b867f0734a2909"
"zona","evento deportivo","menores de 14 años",70,"3/4","1/8",0.125,52,9,9,9,21,9,"monto","#0073C2",19,"04b2b18b65556e9b90ad44c9b195e4cd"
"distrito","campeonato","menores de 16 años",120,"1/2","3/8",0.125,60,45,15,15,36,15,"monto","#4285F4",20,"ad0287d232770c82720c2feca8fa049b"
"ciudad","competencia atlética","niños y adolescentes",150,"1/3","1/2",0.166666666666667,50,75,25,25,25,25,"recompensa","#4285F4",21,"4eef57ac94a4b5a94569fe53e29e767e"
"distrito","concurso deportivo","categoría juvenil",150,"2/5","1/2",0.1,60,75,15,15,45,15,"recompensa","#4285F4",22,"72e606b77b3906c2576e4cd3206d6a47"
"región","competencia atlética","categoría juvenil",120,"3/5","1/3",0.0666666666666667,72,40,8,8,6,8,"dinero","#7F3C8D",23,"bb32119f852c8de3e0f9262b94e93080"
"barrio","competencia atlética","categoría juvenil",90,"3/5","1/4",0.15,54,22,14,14,27,14,"dinero","#7F3C8D",24,"ea24c575139c01d72a23585c2759b582"
"barrio","campeonato","niños y adolescentes",30,"1/2","3/8",0.125,15,11,4,4,6,4,"recompensa","#1F77B4",25,"0ef60d7a193d38f805901809d50a16a2"
"región","competencia atlética","niños y adolescentes",90,"2/5","1/2",0.1,36,45,9,9,18,9,"premio","#003f5c",26,"c940c41c4fa8645beb6c7de31a8c51cb"
"pueblo","carrera","estudiantes de primaria y secundaria",120,"1/2","1/3",0.166666666666667,60,40,20,20,24,20,"dinero","#0073C2",27,"3120722ff9489b5033a0ae4b027f1806"
"ciudad","maratón","niños y adolescentes",30,"1/2","3/8",0.125,15,11,4,4,6,4,"dinero","#003f5c",28,"de78d125f8d22be60415f2c6d343cba8"
"pueblo","prueba atlética","menores de 16 años",70,"3/5","1/4",0.15,42,18,10,10,21,10,"premio","#003f5c",29,"09e44ca923b8f8a19c959943ca5067b1"
"zona","carrera","estudiantes menores de edad",150,"3/5","3/10",0.1,90,45,15,15,15,15,"recompensa","#003f5c",30,"d71b160ebfbe5d99364fab713becb42b"
"ciudad","campeonato","estudiantes menores de edad",90,"3/5","1/4",0.15,54,22,14,14,4,14,"premio","#0073C2",31,"c0f15a4fc9e1b15070931041f66152ef"
"distrito","torneo deportivo","niños y adolescentes",120,"1/2","3/8",0.125,60,45,15,15,15,15,"premio","#7F3C8D",32,"ccdfe2eabdffa33834380500abb557d6"
"zona","campeonato","estudiantes de primaria y secundaria",120,"2/3","1/5",0.133333333333333,80,24,16,16,36,16,"monto","#4285F4",33,"5b3f39e4318a1ffc0ba2c1816c0d1c42"
"ciudad","concurso deportivo","estudiantes menores de edad",40,"2/5","1/2",0.1,16,20,4,4,12,4,"recompensa","#7F3C8D",34,"8117b8e77d98cedcbd8a346f71cde7bd"
"zona","evento deportivo","categoría juvenil",30,"3/5","3/10",0.1,18,9,3,3,6,3,"dinero","#7F3C8D",35,"5a8ec89a2c1ee9b3b590f72e19c3d25b"
"pueblo","competencia atlética","niños y niñas de 10 a 15 años",120,"1/2","1/3",0.166666666666667,60,40,20,20,24,20,"incentivo","#4285F4",36,"44686905903fad125edf8126ab5e8014"
"distrito","campeonato","menores de 16 años",50,"1/3","1/2",0.166666666666667,17,25,8,8,10,8,"monto","#003f5c",37,"51e777e1466bc31c753926a6926ef844"
"ciudad","maratón","jóvenes de 12 a 15 años",70,"3/5","1/3",0.0666666666666667,42,23,5,5,4,5,"recompensa","#7F3C8D",38,"b331f7a9f0640171952a87dd8ca0bb35"
"provincia","competencia atlética","categoría juvenil",100,"3/5","1/3",0.0666666666666667,60,33,7,7,7,7,"premio","#003f5c",39,"6fb4167c4c295baa0d5374760f4ce447"
"barrio","carrera","menores de 16 años",100,"1/2","1/3",0.166666666666667,50,33,17,17,17,17,"monto","#1F77B4",40,"35f61795cb4e7782429da80af818f07c"
"región","competencia atlética","jóvenes de 12 a 15 años",100,"1/3","1/2",0.166666666666667,33,50,17,17,30,17,"monto","#0073C2",41,"cebc50fb406d15e498fe9faf4dd5e821"
"ciudad","olimpiada deportiva","menores de 15 años",120,"1/2","3/8",0.125,60,45,15,15,36,15,"incentivo","#003f5c",42,"7ed2af1ff4e4f7e880c5f642a317c0e2"
"región","torneo deportivo","jóvenes de 12 a 15 años",40,"3/5","1/4",0.15,24,10,6,6,2,6,"dinero","#003f5c",43,"f269aa3084c0aa9c776a4983f65ee3c6"
"ciudad","competencia atlética","menores de 15 años",100,"3/5","1/3",0.0666666666666667,60,33,7,7,30,7,"premio","#4285F4",44,"262a9a75a14c99597881e287d0f39966"
"pueblo","justa deportiva","estudiantes menores de edad",50,"1/2","2/5",0.1,25,20,5,5,15,5,"incentivo","#7F3C8D",45,"3898140168f0788d60c7d832739ffb1b"
"municipio","maratón","niños y niñas de 10 a 15 años",80,"3/4","1/8",0.125,60,10,10,10,24,10,"incentivo","#003f5c",46,"cbfddc36fd556d8b334260123be0432f"
"provincia","carrera","niños y niñas de 10 a 15 años",30,"1/2","1/3",0.166666666666667,15,10,5,5,6,5,"monto","#7F3C8D",47,"d9bafc3e982771b6e4f7bbd24953c389"
"pueblo","prueba atlética","menores de 14 años",120,"3/5","1/4",0.15,72,30,18,18,36,18,"monto","#1F77B4",48,"ea70074b868dfbe7d8174bbec351e372"
"pueblo","competencia atlética","niños y adolescentes",150,"1/3","1/2",0.166666666666667,50,75,25,25,8,25,"incentivo","#4285F4",49,"61f0d90cb6575a27ceb32c760e851dca"
"comunidad","carrera","categoría infantil",50,"3/5","1/4",0.15,30,12,8,8,15,8,"recompensa","#0073C2",50,"831f140e2e32be9447bc64f7ef35d9ea"
